title;bibtex;url;year;num_citations;num_versions;url_pdf;url_citations;url_versions;excerpt;type
Thérapies enzymatiques substitutives des maladies lysosomales;Germain2010;https://www.sciencedirect.com/science/article/pii/S024886631070028X;2010;5;6;None;http://scholar.google.com/scholar?cites=5856400670078413913&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=5856400670078413913&hl=en&as_sdt=0,5;Page 1. ISSN 0248-8663 Décembre 2010 Vol. 31 - Suppl. 2 p. S205-S291 3eRencontres Multidisciplinaires sur la maladie de Fabry Paris, les 23-24 mai 2008que : Pr Dominique P. Germain Centre de référence de la maladie … ;?
Développements bioinformatiques en analyse de séquences: application à l'étude structurale et fonctionnelle d'enzymes à l'origine de maladies lysosomales;Durand1998;https://www.theses.fr/1998PA066111;1998;1;2;None;http://scholar.google.com/scholar?cites=15941956932044720329&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=15941956932044720329&hl=en&as_sdt=0,5;Mon travail, realise grace a une bourse d'etude de l'association vaincre les maladieslysosomales, a pour but l'etude de la structure et de la fonction de plusieursglycosyl-hydrolases dont les defficiences sont a l'origine de maladies lysosomales … ;bourse
Regards croisés sur la souffrance psychique des enfants polyhandicapés atteints de maladies évolutives;perifano2015regards;https://www.sciencedirect.com/science/article/pii/S0929693X15002390;2015;3;2;None;http://scholar.google.com/scholar?cites=1908086128804347853&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=1908086128804347853&hl=en&as_sdt=0,5;… Résumé. Introduction. La présente recherche a été menée à la demande d'uneassociation de parents (Vaincre les maladies lysosomales [VML]) dont les enfantspolyhandicapés sont atteints de maladies génétiques rares. Plusieurs … ;demande
LE TRAITEMENT DE LA DOULEUR CHRONIQUE DE L'ENFANT DANS LES MALADIES LYSOSOMALES PAR DES METHODES NON-MEDICAMENTEUSES …;UNIVERSITAIRE;http://www.ethique.sorbonne-paris-cite.fr/sites/default/files/m2_lapointe.pdf;None;0;2;http://www.ethique.sorbonne-paris-cite.fr/sites/default/files/m2_lapointe.pdf;None;http://scholar.google.com/scholar?cluster=4833470206358745796&hl=en&as_sdt=0,5;… trouvées. L'association Vaincre les Maladies Lysosomales (VML) par sa démarche dynamiquedepuis vingt ans apporte, via ses actions, une aide et un soutien aux familles, une améliorationde la pratique des soins et un financement de la recherche … ;desc asso
Quelle place pour le médecin généraliste dans la prise en charge des maladies rares? Analyse des attentes de patients atteints de maladies lysosomales;Seveque2014;https://pdfs.semanticscholar.org/b050/d56df0ce1b7b04550bc33f38cf6622d0b9b8.pdf;2014;0;4;http://scholar.google.com/https://pdfs.semanticscholar.org/b050/d56df0ce1b7b04550bc33f38cf6622d0b9b8.pdf;None;http://scholar.google.com/scholar?cluster=3973000920397194020&hl=en&as_sdt=0,5;… 26 2.3 Physiopathologie des maladies lysosomales ..... 27 2.4 L'association Vaincreles Maladies Lysosomales (VML) .... 30 3 PROBLÉMATIQUE ..... 32 … ;desc asso
Diagnostic biologique et moléculaire des maladies de surcharge lysosomale;Maire1998;https://www.sciencedirect.com/science/article/pii/S0338989898800656;1998;9;2;None;http://scholar.google.com/scholar?cites=9236403869489518032&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=9236403869489518032&hl=en&as_sdt=0,5;… et Doc. Lavoisier, Paris, 1997, 316 p. [7] Maire I., Caillaud C., Vanier MT, Diagnosticbiologique et molecu- laire des maladies de surcharge lysososmale, Atlas del'Association Vaincre les maladies lysosomales, Evry (1998) … ;ref atlas
Les arylamine N-acétyltransférases: du polymorphisme génétique à la susceptibilité aux xénobiotiques.;Delomenie1998;http://www.ipubli.inserm.fr/handle/10608/880;1998;8;3;None;http://scholar.google.com/scholar?cites=15556345644198109003&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=15556345644198109003&hl=en&as_sdt=0,5;Page 1. Chez certains individus, l'administration d'un anti- paludéen, la primaquine,déclenche une série de troubles hémolytiques pou- vant s'avérer fatals. La démonstra-tion, faite dans les années 1950, de l'existence d'un … ;?
Etude clinico-biologique et moléculaire des mucopolysaccharidoses en Tunisie du centre et du sud;Laradi2001;https://www.jle.com/en/revues/abc/e-docs/etude_clinico_biologique_et_moleculaire_des_mucopolysaccharidoses_en_tunisie_du_centre_et_du_sud_50727/article.phtml?tab=references;2001;4;4;None;http://scholar.google.com/scholar?cites=1356976333997329359&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=1356976333997329359&hl=en&as_sdt=0,5;… 1. Billette de Villemeur T. Le lysosome et les maladies lysosomales. Atlas de l'association Vaincreles maladies lysosomales, Évry, 1998 : 1-3. 2. Neufeld EF, Muenzer J. The mucopolysaccharidosis.In : The metabolic and molecular bases of inherited disease … ;ref atlas
Les erreurs innées du métabolisme: un nouveau défi pour la médecine adulte;Bonafe2011;https://medicalforum.ch/fr/journalfile/view/article/ezm_smf/fr/fms.2011.07608/bd5e9a4523cce77d67ab01d22e3049173d29a6b1/fms_2011_07608.pdf/rsrc/jf;2011;1;2;None;http://scholar.google.com/scholar?cites=17003621709998967938&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=17003621709998967938&hl=en&as_sdt=0,5;… d'enfants et d'adultes atteints de maladies du metabolisme: http://www.phenylcetonurie.org/ □Schweizerische Arbeitsgruppe für Lyosomale Speicherkrank heiten (SALS): http://sals.ch/ □Lysosuisse: http://www.lysosuisse.ch/ □ Vaincre les Maladies Lysosomales (VML Suisse … ;ref asso
Place de la nutrition à l'huile d'argan dans la prévention des maladies cardiovasculaires et des cancers au Maroc;Adlouni2009;http://www.academia.edu/download/46428993/s1773-035x_2809_2970278-320160612-12464-qr6wqj.pdf;2009;9;4;http://www.academia.edu/download/46428993/s1773-035x_2809_2970278-320160612-12464-qr6wqj.pdf;http://scholar.google.com/scholar?cites=9239347470733580690&as_sdt=2005&sciodt=0,5&hl=en;http://scholar.google.com/scholar?cluster=9239347470733580690&hl=en&as_sdt=0,5;… Enfin, nous avons pu créer une association de malades et parents de malades, intitulée :Association Espoir Vaincre les Maladies Lysosomales au Maroc (Espoir VML Maroc) etdévelopper un partenariat entre elle et les laboratoires Genzyme et Afric Phar, dans l'espoir de … ;ref asso maroc
